Nombre,Link,"Rock","Urbano","Latino","RB","Pop","Instrumental","Electrónico","duración","animadas","alegres","letra","conocidas"
If These Scars Could Speak - Citizen Soldier,https://youtu.be/hbtDPxKcijY,0.1,0.33,0.16,0.16,0.50,0.66,0.33,0.50,0.1,0.16,0.1,0.16
Pandora's Box - Citizen Soldier,https://youtu.be/0.33fx3pIiwlwQ,0.1,0.16,0.16,0.16,0.33,0.83,0.66,0.50,0.1,0.16,0.1,0.16
Without Me - Eminem,https://youtu.be/YVkUvmDQ3HY,0.16,0.1,0.16,0.16,0.16,0.16,0.50,0.66,0.83,0.66,0.1,0.1
Mirrors - Justin Timberlake,https://youtu.be/uuZE_IRwLNI,0.16,0.50,0.16,0.1,0.66,0.66,0.16,0.1,0.16,0.16,0.1,0.1
Stronger Than My Storm - Citizen Soldier,https://youtu.be/YvU4wdY0.16SVk,0.1,0.50,0.16,0.16,0.16,0.66,0.50,0.50,0.1,0.66,0.1,0.16
My Own Summer - Deftones,https://youtu.be/XOzs0.16FehYOA,0.1,0.33,0.16,0.50,0.16,0.16,0.16,0.33,0.66,0.50,0.83,0.50
OUTTA MY MIND -Monsune,https://youtu.be/SjgMmo6_DH0,0.33,0.66,0.16,0.1,0.50,0.50,0.66,0.50,0.50,0.83,0.66,0.50
Duality - Slipknot,https://youtu.be/6fVE8kSM43I,0.1,0.16,0.16,0.16,0.16,0.33,0.33,0.50,0.1,0.50,0.1,0.83
Mazas y Catapultas - Kase.O,https://youtu.be/onOti-CEIq8,0.16,0.1,0.66,0.16,0.16,0.16,0.50,0.33,0.50,0.83,0.1,0.66
Little Monster - Royal Blood,https://youtu.be/ere0.33Mstl8ww,0.1,0.16,0.16,0.50,0.16,0.16,0.16,0.50,0.83,0.66,0.50,0.50
Don't stop the music - Rihanna,https://www.youtube.com/watch?v=yd8jh9QYfEs,0.16,0.16,0.16,0.16,0.1,0.16,0.33,0.50,0.1,0.1,0.66,0.1
Future Bells - Tartaruga Records,https://www.youtube.com/watch?v=94pfvcYEcaY,0.16,0.33,0.16,0.16,0.83,0.16,0.1,0.50,0.50,0.83,0.66,0.66
The less I know the better - Tame Impala,https://www.youtube.com/watch?v=0.33SUwOgmvzK4,0.1,0.16,0.16,0.16,0.83,0.16,0.33,0.50,0.50,0.66,0.66,0.66
Wolf and I - Oh Land,https://www.youtube.com/watch?v=V4wHMORwlHY,0.16,0.16,0.16,0.16,0.83,0.83,0.33,0.83,0.66,0.66,0.1,0.50
Shut up - Black Eyes Peas,https://youtu.be/KRzMtlZjXpU,0.66,0.66,0.50,0.33,0.1,0.50,0.83,0.50,0.83,0.83,0.1,0.1
Rolling Rolling - LUCY,https://www.youtube.com/watch?v=0.16v7we9U5_UY,0.1,0.16,0.16,0.33,0.83,0.66,0.16,0.33,0.1,0.83,0.1,0.33
Black Mirror - ONEUS,https://www.youtube.com/watch?v=LnB0.33Zg3um0g&list=OLAK5uy_lg-zD60.33m_cWScCdlTroOODJ7C4ARrhiKM,0.16,0.50,0.16,0.50,0.1,0.16,0.33,0.33,0.1,0.1,0.1,0.66
ASAP - STAYC,https://www.youtube.com/watch?v=NsY-9MCOIAQ,0.16,0.33,0.16,0.16,0.1,0.33,0.16,0.16,0.66,0.83,0.83,0.83
Freak (怪咖) - Joker Xue,https://www.youtube.com/watch?v=q6CyOgly8_M,0.33,0.16,0.16,0.16,0.1,0.33,0.16,0.33,0.16,0.16,0.1,0.16
Am I A Girl? - Poppy,https://www.youtube.com/watch?v=uK5lcI60xyM,0.66,0.16,0.16,0.16,0.1,0.16,0.16,0.16,0.83,0.66,0.1,0.33
INTRO - LUCY,https://youtu.be/fx3E5G69liU,0.66,0.16,0.16,0.16,0.16,0.1,0.16,0.16,0.50,0.33,0.16,0.16
Märchen - Hoppipolla,https://youtu.be/m0.33eA3ev63Ko,0.16,0.16,0.16,0.16,0.16,0.1,0.16,0.66,0.50,0.33,0.16,0.16
Light it Up - Major Lazer,https://youtu.be/r0.33LpOUwca94,0.16,0.66,0.16,0.16,0.66,0.16,0.1,0.16,0.1,0.1,0.66,0.1
Me fui de vacaciones - Bad Bunny ,https://youtu.be/7K7Sl0FPsVo,0.33,0.1,0.1,0.50,0.66,0.50,0.66,0.50,0.83,0.83,0.1,0.1
Provenza - Karol G,https://youtu.be/ca48oMV59LU,0.50,0.1,0.1,0.50,0.66,0.50,0.66,0.50,0.1,0.1,0.1,0.1
Bichiyal - Bad Bunny ,https://youtu.be/Udxl0.167LVHYA,0.50,0.1,0.1,0.50,0.66,0.50,0.66,0.50,0.1,0.1,0.1,0.1
As it was - Harry Styles,https://youtu.be/H5v3kku4y6Q,0.50,0.1,0.1,0.50,0.66,0.66,0.66,0.50,0.1,0.1,0.1,0.1
Como un bebé - J balvin,https://youtu.be/HcwEyLhwL54,0.50,0.1,0.1,0.50,0.66,0.50,0.66,0.50,0.1,0.1,0.1,0.1
Butter - BTS,https://www.youtube.com/watch?v=WMweEpGlu_U,0.50,0.33,0.16,0.50,0.1,0.16,0.66,0.33,0.83,0.1,0.1,0.1
Daechwita - Agust D,https://www.youtube.com/watch?v=qGjAWJ0.33zWWI,0.50,0.1,0.16,0.16,0.50,0.16,0.50,0.50,0.83,0.50,0.1,0.1
Tonight - Jin,https://www.youtube.com/watch?v=qfN-5mi9xtI,0.16,0.16,0.16,0.50,0.1,0.16,0.16,0.33,0.33,0.16,0.1,0.83
Swim - Chase atlantic,https://www.youtube.com/watch?v=lVSBxYjGLPs,0.50,0.83,0.16,0.16,0.50,0.16,0.50,0.50,0.50,0.33,0.1,0.83
April - mol-74,https://www.youtube.com/watch?v=HTjiTJm7jjg&list=PL70.33Szcpc5hHCb0mHMkFRNaM7MnE5aBWlJ&index=90,0.16,0.16,0.16,0.66,0.83,0.16,0.16,0.50,0.50,0.33,0.1,0.50
I WANNA BE YOUR SLAVE - Måneskin,https://youtu.be/Vfdq37BDM48,0.1,0.33,0.16,0.16,0.33,0.16,0.16,0.33,0.1,0.50,0.83,0.83
René - Residente,https://youtu.be/O4f58BU_Hbs,0.16,0.83,0.16,0.16,0.33,0.33,0.16,0.1,0.33,0.16,0.1,0.1
Nanpa Básico - Quiéreme así,https://youtu.be/4ZadjZXxyNU,0.16,0.83,0.16,0.33,0.33,0.50,0.16,0.33,0.33,0.16,0.66,0.50
Ojos noche - Elsa y Elmar,https://youtu.be/j3Idam5UjDY,0.16,0.16,0.16,0.33,0.1,0.33,0.16,0.50,0.83,0.16,0.50,0.66
Telefono - Delfina Dib,https://youtu.be/tSGabM880.33NY,0.16,0.1,0.16,0.33,0.66,0.50,0.50,0.33,0.50,0.33,0.66,0.50
Dang! - Mac Miller ft. Anderson .Paak ,https://youtu.be/HbDOdFRLV0U,0.16,0.1,0.16,0.1,0.16,0.16,0.33,0.50,0.33,0.50,0.83,0.66
Razorblade - The Strokes,https://youtu.be/qcZcISJAEb4,0.1,0.16,0.16,0.16,0.16,0.16,0.16,0.33,0.1,0.83,0.83,0.66
Candy - Rosalía,https://youtu.be/LGWG3Z8gJmI,0.16,0.1,0.50,0.16,0.16,0.50,0.16,0.33,0.50,0.50,0.83,0.1
Mars For The Rich - King Gizzard and The Lizard Wizard,https://youtu.be/cdro3Zz5YsM,0.1,0.16,0.16,0.16,0.16,0.16,0.16,0.50,0.1,0.1,0.66,0.50
"MASSA - Tyler, the creator",https://youtu.be/0vGz0bFutZs,0.16,0.1,0.16,0.83,0.16,0.16,0.16,0.50,0.33,0.50,0.1,0.66
Anhelando iruya - perota chingó ,https://www.youtube.com/watch?v=VMDeYT4QNQA,0.16,0.16,0.16,0.83,0.66,0.83,0.16,0.66,0.33,0.16,0.1,0.50
Rise-Katy Perry,https://www.youtube.com/watch?v=hdw0.16uKiTI5c,0.66,0.50,0.1,0.83,0.50,0.50,0.66,0.66,0.66,0.66,0.1,0.50
Puntos suspensivos - vetusta Morla,https://www.youtube.com/watch?v=yJiERS47WWY,0.66,0.16,0.16,0.33,0.50,0.50,0.66,0.50,0.50,0.33,0.83,0.50
yo voy ganao - systema solar,https://www.youtube.com/watch?v=EcbUAWWFyE0,0.16,0.66,0.83,0.33,0.33,0.16,0.83,0.66,0.66,0.1,0.1,0.66
Solitario - Mitú,https://www.youtube.com/watch?v=NQ6uFjWpYVQ,0.50,0.33,0.50,0.50,0.66,0.33,0.83,0.50,0.1,0.1,0.50,0.83
Sin sentimiento - Grupo Niche,https://youtu.be/OwbQMh7ItuU,0.16,0.1,0.1,0.66,0.50,0.50,0.33,0.33,0.83,0.1,0.1,0.66
Mi historia entre tus dedos - Gianluca Grignani,https://youtu.be/gpiKehLush4,0.16,0.1,0.1,0.50,0.66,0.50,0.33,0.33,0.1,0.1,0.1,0.66
Part of me - Katy Perry,https://youtu.be/uuwfgXD8qV8,0.16,0.1,0.1,0.50,0.66,0.50,0.33,0.33,0.1,0.1,0.1,0.66
Just the way you are - Bruno Mars,https://youtu.be/LjhCEhWiKXk,0.16,0.1,0.1,0.50,0.66,0.50,0.33,0.33,0.1,0.1,0.1,0.66
"Tus lágrimas - Mora, Sech",https://youtu.be/g0.16bXmsH7swk,0.16,0.1,0.1,0.66,0.66,0.50,0.33,0.33,0.1,0.1,0.1,0.66
Primadonna - Marina,https://www.youtube.com/watch?v=Gj5L9SYhoSE,0.66,0.83,0.83,0.66,0.83,0.83,0.66,0.33,0.83,0.50,0.1,0.50
Te puedes marchar,https://www.youtube.com/watch?v=yG7MPEQm0.16-w,0.66,0.66,0.83,0.66,0.83,0.83,0.66,0.33,0.83,0.50,0.66,0.50
Ana Mile - Grupo Niche,https://www.youtube.com/watch?v=waAB-XBpddc,0.83,0.66,0.83,0.66,0.83,0.83,0.66,0.83,0.83,0.50,0.66,0.50
Ana mile,https://youtu.be/7asnw_GE8_M,0.16,0.16,0.1,0.33,0.16,0.50,0.16,0.66,0.1,0.66,0.83,0.1
Primadonna - Marina ,https://youtu.be/BNanOoIofq0,0.16,0.16,0.16,0.16,0.1,0.33,0.50,0.33,0.1,0.83,0.83,0.50
Te puedes marchar - Luis Miguel,https://youtu.be/yG7MPEQm0.16-w,0.16,0.33,0.33,0.33,0.83,0.16,0.50,0.33,0.1,0.1,0.83,0.83
Telepatía - Kali Uchis,https://youtu.be/Dwzk-XZxZ4k,0.33,0.33,0.16,0.33,0.50,0.16,0.33,0.33,0.50,0.66,0.66,0.66
Florida Kilos - Lana del Rey,https://youtu.be/E4p3-IpaIzE,0.83,0.16,0.16,0.33,0.33,0.50,0.16,0.50,0.33,0.50,0.83,0.66
Florida Kilos - Lana del Rey,https://www.youtube.com/watch?v=E4p3-IpaIzE,0.66,0.83,0.83,0.50,0.83,0.83,0.66,0.33,0.66,0.50,0.66,0.50
MAMI - Karol G,https://www.youtube.com/watch?v=flL8ZMqIWGA,0.16,0.1,0.50,0.16,0.50,0.16,0.16,0.66,0.83,0.83,0.83,0.1
Creo en Ti - Reik,https://www.youtube.com/watch?v=snFhcHHdzT0,0.16,0.16,0.33,0.33,0.1,0.33,0.16,0.50,0.33,0.50,0.1,0.83
Break My Heart - Dua Lipa,https://www.youtube.com/watch?v=Nj0.33U6rhnucI,0.16,0.33,0.16,0.33,0.1,0.33,0.33,0.66,0.83,0.1,0.1,0.1
Ride - Twenty One Pilots,https://www.youtube.com/watch?v=Pw-0pbY9JeU,0.16,0.33,0.16,0.33,0.1,0.33,0.16,0.50,0.1,0.83,0.1,0.83
Rolling in the Deep - Adele,https://www.youtube.com/watch?v=rYEDA3JcQqw,0.16,0.16,0.16,0.16,0.1,0.16,0.16,0.50,0.83,0.66,0.1,0.1
Cry Me a River - akiko,https://www.youtube.com/watch?v=_Ymq0.16vWjqg4&ab_channel=akiko-Topic,0.16,0.16,0.16,0.1,0.16,0.66,0.16,0.50,0.50,0.33,0.1,0.50
Sin Poderte Hablar - Willie Colón,https://www.youtube.com/watch?v=-KGvYbRI_xA&ab_channel=WillieCol%C3%B3n-Topic,0.16,0.16,0.1,0.66,0.16,0.66,0.16,0.66,0.1,0.66,0.1,0.1
I Feel Love - Donna Summer,https://www.youtube.com/watch?v=Nm-ISatLDG0&ab_channel=SolracEtnevic,0.33,0.16,0.16,0.66,0.33,0.33,0.1,0.66,0.83,0.1,0.66,0.83
Happy Together - Slothrust,https://www.youtube.com/watch?v=pSkZfhiIdKA&ab_channel=DangerbirdRecords,0.1,0.16,0.16,0.33,0.16,0.16,0.16,0.33,0.83,0.50,0.83,0.33
Hail Mary - 0.33Pac,https://www.youtube.com/watch?v=_jGCL0CkXow&ab_channel=0.33Pac-Topic,0.16,0.1,0.16,0.16,0.16,0.16,0.16,0.66,0.66,0.66,0.1,0.83
Best of you- foofighters ,https://youtu.be/h_L4Rixya64,0.83,0.83,0.83,0.83,0.83,0.1,0.66,0.83,0.83,0.83,0.83,0.83
Weightless - Natassha Bendingfield,https://youtu.be/AUxLeytLHVk,0.1,0.83,0.66,0.50,0.83,0.1,0.50,0.83,0.83,0.83,0.66,0.83
Torero - Chayanne ,https://youtu.be/GuZzuQvv7uc,0.83,0.83,0.1,0.66,0.83,0.1,0.50,0.83,0.83,0.83,0.83,0.83
Dragostea Din Tei - O zone ,https://youtu.be/YnopHCL0.16Jk8,0.83,0.66,0.1,0.66,0.1,0.1,0.50,0.83,0.83,0.83,0.83,0.83
Oye gozalo - La 33 ,https://youtu.be/cQzzGgS3c6k,0.1,0.66,0.1,0.50,0.1,0.1,0.66,0.66,0.83,0.83,0.83,0.83
"La Tusa - Karol G, Nicki Minaj",https://www.youtube.com/watch?v=tbneQDc0.33H3I&ab_channel=KarolGVEVO,0.16,0.1,0.16,0.16,0.66,0.16,0.50,0.33,0.83,0.83,0.1,0.1
Nunca es suficiente - Natalia Lafourcade y Los Ángeles Azules,https://youtu.be/k76BgIb89-s,0.66,0.16,0.83,0.33,0.33,0.16,0.16,0.33,0.50,0.66,0.83,0.66
Fuentes de Ortiz - Ed Maverick,https://youtu.be/PaoCQHwTPg4,0.66,0.16,0.16,0.66,0.50,0.50,0.16,0.33,0.16,0.33,0.83,0.33
Tu falta de querer - Mon Laferte,https://youtu.be/WT-VE9OyAJk,0.50,0.16,0.16,0.50,0.83,0.16,0.16,0.50,0.1,0.83,0.83,0.66
Saturn - Sleeping At Last,https://youtu.be/dzNvk80XY9s,0.16,0.16,0.16,0.1,0.50,0.83,0.16,0.33,0.33,0.33,0.33,0.33
FRIENDS - Marshmello & Anne-Marie,https://www.youtube.com/watch?v=CY8E6N5Nzec,0.16,0.33,0.16,0.16,0.83,0.16,0.66,0.50,0.50,0.50,0.1,0.83
Mientes - Camila,https://www.youtube.com/watch?v=xftFxCYQTdk,0.16,0.16,0.50,0.16,0.66,0.16,0.16,0.50,0.33,0.33,0.83,0.66
Hillbilly Bone - Home Free,https://www.youtube.com/watch?v=y_7_RTogRBw,0.33,0.16,0.33,0.33,0.16,0.16,0.16,0.50,0.83,0.1,0.83,0.16
